P8010116.482933
GADANKI 01/01/1980 16:47:29 01/01/1980 16:48:29 0350 0079.2 0013.4 00
0000000 0020 0001200 0020 05
1 0 2 02000 1 0000 0030 00532.o 0 0 00 000 14 001200 0.100 BT0
1 1 2 02000 1 0000 0030 00532.o 0 0 00 000 00 001200 0.0000 BC0
1 0 2 02000 1 0000 0030 00532.p 0 0 00 000 14 001200 0.100 BT1
1 1 2 02000 1 0000 0030 00532.p 0 0 00 000 00 001200 0.0000 BC1
1 0 2 02000 1 0000 0030 01064.o 0 0 00 000 14 001200 0.100 BT2
532.000 .o analog 0 	532.000 .o photon 0 	532.000 .p analog 1 	532.000 .p photon 1 	1064.000 .o analog 2 
 19.6679	131.0708	  9.9611	118.2250	  1.8092
 19.6543	131.5208	  9.9438	117.9417	  1.8082
 19.6592	131.0542	  9.9674	119.0583	  1.8088
 19.6614	131.0167	  9.9571	118.3250	  1.8090
 19.6472	131.3208	  9.9659	119.0708	  1.8080
 19.6488	131.4583	  9.9509	119.0583	  1.8086
 19.6718	130.8625	  9.9474	118.1583	  1.8084
 19.6593	130.6750	  9.9384	118.3667	  1.8088
 19.6737	131.4125	  9.9572	118.4000	  1.8080
 19.6533	131.0208	  9.9712	118.0333	  1.8089
 19.6637	130.8875	  9.9579	118.2458	  1.8081
 19.6704	130.8333	  9.9620	118.6250	  1.8091
 19.6450	131.1625	  9.9669	118.6958	  1.8087
 19.6603	130.7125	  9.9675	118.3208	  1.8080
 19.6551	130.6625	  9.9562	118.4250	  1.8088
 19.6665	131.0000	  9.9421	118.4125	  1.8087
 19.6629	131.0542	  9.9478	119.1208	  1.8081
 19.6594	131.0708	  9.9573	118.3875	  1.8084
 19.6517	131.9000	  9.9420	118.0458	  1.8088
 19.6459	131.1125	  9.9712	118.3292	  1.8083
 19.6377	131.1458	  9.9612	118.5792	  1.8086
 19.6446	131.5167	  9.9453	118.9083	  1.8081
 19.6551	131.4583	  9.9478	118.5333	  1.8086
 19.6564	131.4542	  9.9645	118.4542	  1.8086
 19.6671	130.7292	  9.9694	117.8125	  1.8087
 19.6661	131.2333	  9.9341	118.4042	  1.8087
 19.6523	131.7167	  9.9513	118.3875	  1.8090
 19.6367	131.1458	  9.9508	118.3958	  1.8086
 19.6620	131.2292	  9.9578	118.1042	  1.8082
 19.6437	130.8667	  9.9443	118.3375	  1.8086
 19.6399	131.0292	  9.9542	118.8667	  1.8092
 19.6586	131.2417	  9.9784	118.9625	  1.8090
 19.6741	130.9292	  9.9806	118.3583	  1.8085
 19.6619	131.6375	  9.9305	118.8375	  1.8090
 19.6682	131.2083	  9.9541	118.6875	  1.8090
 19.6608	131.2875	  9.9547	117.9667	  1.8087
 19.6478	130.7042	  9.9493	119.0542	  1.8082
 19.6688	130.8458	  9.9334	118.1458	  1.8088
 19.6524	130.7000	  9.9515	118.0167	  1.8086
 19.6745	130.9667	  9.9550	118.2958	  1.8087
 19.6466	131.1417	  9.9716	118.6667	  1.8088
 19.6721	131.2125	  9.9494	118.0333	  1.8089
 19.6684	131.0667	  9.9586	118.7000	  1.8089
 19.6573	131.2958	  9.9479	118.2250	  1.8088
 19.6505	131.1667	  9.9664	118.2333	  1.8090
 19.6399	130.8292	  9.9536	118.3667	  1.8091
 19.6569	131.3833	  9.9484	117.8458	  1.8091
 19.6640	130.5792	  9.9632	118.9333	  1.8089
 19.6478	130.6542	  9.9636	118.8125	  1.8090
 19.6651	131.1875	  9.9500	118.8708	  1.8083
 19.6459	131.2583	  9.9553	118.5333	  1.8086
 19.6648	131.5875	  9.9367	118.9708	  1.8088
 19.6511	131.3875	  9.9583	118.0250	  1.8091
 19.6524	130.8458	  9.9558	119.0375	  1.8085
 19.6616	131.0583	  9.9672	118.1500	  1.8086
 19.6614	131.1500	  9.9521	118.4875	  1.8082
 19.6610	131.7833	  9.9382	118.6167	  1.8087
 19.6377	131.3958	  9.9623	118.1167	  1.8084
 19.6526	130.9083	  9.9523	118.7375	  1.8083
 19.6701	130.9792	  9.9533	118.6125	  1.8083
 19.6701	131.0125	  9.9524	118.9417	  1.8090
 19.6630	130.6958	  9.9223	118.9500	  1.8083
 19.6598	131.4000	  9.9556	118.3708	  1.8086
 19.6669	131.1250	  9.9563	118.6333	  1.8086
 19.6525	131.2417	  9.9503	118.6333	  1.8088
 19.6421	131.2208	  9.9656	118.7125	  1.8086
 19.6613	131.7000	  9.9630	118.5250	  1.8092
 19.6575	131.1250	  9.9564	118.4667	  1.8084
 19.6490	131.0083	  9.9477	118.4292	  1.8090
 19.6691	131.2250	  9.9478	118.6042	  1.8084
 19.6561	131.0917	  9.9659	119.0083	  1.8084
 19.6498	131.2250	  9.9684	118.3000	  1.8084
 19.6520	131.6958	  9.9636	118.8708	  1.8084
 19.6647	131.0417	  9.9679	118.6750	  1.8085
 19.6588	131.1750	  9.9527	118.8417	  1.8083
 19.6604	131.6750	  9.9424	118.1417	  1.8090
